Citrulline Malate,"  What is Citrulline Malate?Citrulline Malate is a unique combination of the amino acid citrulline and the organic salt malate.Who is Citrulline Malate Suitable for?It is ideal for people involved in high intensity exercise such as weight lifting and sprinting.Please note that the labelling on this product is provided in English as a minimum. French, Italian, German, Spanish, Danish, Swedish and Finnish may also be present on a product by product basis."
Omega-3,"  Omega-3 is an essential fatty acid that you can't make yourself, so you have to get from your diet.As it comes from fish oil, you might not have the time or money to get enough of it from what you eat alone ; making our softgels a convenient and inexpensive alternative.;What are the benefits of Omega-3?Omega-3 contains EPA (eicosapentaenoic acid) and DHA (docosahexaenoic acid), which contribute to the normal function of the heart.These softgels can be taken on-the-go and cost a fraction of other omega-3 sources ; it never been easier to keep on top on your daily intake.When should you take Omega-3?Simply take two capsules every day with food.For even better results, try it with ;Daily Vitamins;; multi-vitamin food supplement tablet, high in vitamins A, D, E and C, plus thiamine, riboflavin and niacin, they're inexpensive and easy-to-take.;Please note that the labelling on this product is provided in English as a minimum. French, Italian, German, Spanish, Danish, Swedish and Finnish may also be present on a product by product basis."
Hemp Protein,"  Hemp Protein is an excellent source of protein derived from whole raw hemp seed, providing 15g;of protein per serving which will contribute to a growth and maintenance in muscle mass.;Who is Hemp Protein Suitable for?Hemp Protein is an ideal supplement for anyone looking to increase daily protein intake. Hemp Protein is perfect to consume either before or after exercise as a source of protein or at any time throughout the day to increase daily protein intake. Hemp Protein is also an excellent source of protein for vegetarians, vegans or for anyone that suffers with a ;gluten intolerance.The dietary choices of all our customers are extremely important to us. Whilst this product is manufactured using ingredients and processing aids suitable for the vegan diet, please note that dairy powders are also used within the same production facility and cross contamination may occur at very small levels.Please note that the labelling on this product is provided in English as a minimum. French, Italian, German, Spanish, Danish, Swedish and Finnish may also be present on a product by product basis."
Oats & Whey,"  Our Oats  ; Whey bar is the ultimate everyday snack for everyone ; from gym-goers to runners, and everyone in-between ; with knockout nutritionals and four mouthwatering flavours.These deliciously chewy flapjack bars are packed with 23g of protein from a unique oat blend that delivers an important source of carbohydrates to help fuel your day.What are the benefits of Oats  ; Whey?It created with a high-quality blend of whey protein concentrate and milk protein, which contributes to the growth and maintenance of muscle mass ; perfect for all training goals.The ground oats also offer a fuelling carb boost, and with less than 4g of sugar it a delicious snack that won't ruin your diet plans.When should I take Oats  ; Whey?Refuel whenever you feel like it. They're perfect for post-workout, but also for getting the protein you need, any time of the day.For even better results, try it with ;Impact Whey Protein ; created with premium, grass-fed whey, it packed with an impressive 21g of protein per serving, delivering the protein you need from a high-quality source.Please note that the labelling on this product is provided in English as a minimum. French, Italian, German, Spanish, Danish, Swedish and Finnish may also be present on a product by product basis."
MSM Powder,"  What is MSM?MSM (a form of sulphur) is an odourless powder.Who is MSM suitable for?For anyone engaged in a long term physical training plan, getting the right dietary balance is absolutely essential. The body requires the right kind of nutrients in order to perform and develop correctly, and whether these come from food or from supplements, they are needed for many purposes. As a dietary supplement we recommend consuming 1 gram daily, preferably with meals.The dietary choices of all our customers are extremely important to us. Whilst this product is manufactured using ingredients and processing aids suitable for the vegan diet, please note that dairy powders are also used within the same production facility and cross contamination may occur at very small levels.Please note that the labelling on this product is provided in English as a minimum. French, Italian, German, Spanish, Danish, Swedish and Finnish may also be present on a product by product basis."
Waxy Maize Starch,"  What is Waxy Maize Starch (WMS)?Waxy maize starch is a complex, long-chain, high molecular weight carbohydrate. Our Waxy Maize Starch has a high percentage of Amylopectin (95-99%) and a low percentage of Amylose (1-5%).Who is Waxy Maize Starch (WMS) Suitable for?;Waxy maize starch is suitable for almost all individuals including vegetarians and vegans. Ideally, WMS is suitable for those who are physically active and want to increase their energy levels through the intake of complex carbohydrates.How to take WMSWMS is soluble in water, mixes best with a shaker but can also be shaken and consumed immediately. It has a neutral taste and is an excellent consumed on its own or when added to formulas such as protein shakes and pre workout drinks.The dietary choices of all our customers are extremely important to us. Whilst this product is manufactured using ingredients and processing aids suitable for the vegan diet, please note that dairy powders are also used within the same production facility and cross contamination may occur at very small levels.Please note that the labelling on this product is provided in English as a minimum. French, Italian, German, Spanish, Danish, Swedish and Finnish may also be present on a product by product basis."
Glucosamine Sulphate,"  Glucosamine is a naturally occurring nutrient, and precursor for glycosaminoglycans ; a major component of cartilage, which absorbs impact and cushions our joints when we move.Although it can be consumed through your diet, it rarely found in any natural food sources ; and that where we come in.What are the benefits of Glucosamine Sulphate?Glucosamine is primarily found in the shells and tails of crustaceans, such as shrimp, crab and lobster ; but only in small, trace amounts. So getting enough into your diet can be very expensive.Our easy-to-consume tablets are packed with 1000mg of glucosamine sulphate, making it the perfect, cost-effective addition to your daily training regime as you strive for success.When should you take Glucosamine Sulphate?Simply take 1 tablet daily, with food for the best results.So whether you spin, lift or sprint, it great for getting those improvements you need ; in the gym or on the track.For even better results, try it with ;Omega 3;; our super-convenient softgels offer you an easy solution for getting essential fatty acids, sourced from fish oil, into your diet. EPA and DHA contribute to the normal function of the heart.*The beneficial effect is obtained with a daily intake of 250mg of EPA and DHA."
Omega 3 6 9,"  What is Omega 3-6-9?nOmega 3-6-9 contain a blend of fish and plant oils, which provide a perfect blend of Omega-3, Omega-6 and Omega-9 fatty acids.nOmega 3-6-9 BenefitsnOmega 3-6-9 contains essential fatty acids that are made up of EPA (eicosapentaenoic acid) and DHA (docosahexaenoic acid) - both long chain fatty acids that have been shown to contribute to the normal function of the heart.nWho is Omega 3-6-9 Suitable for?nThis product is recommended for anyone who lacks a diet containing Omega-3, 6  ; 9.nPlease note that the labelling on this product is provided in English as a minimum. French, Italian, German, Spanish, Danish, Swedish and Finnish may also be present on a product by product basis."
ZMA,"  ZMA: Powerful Patented Formula ZMA&reg; is a unique combination of zinc and magnesium plus vitamin B6 and has a number of benefits to the body and its functionality. Each of the three ingredients have been specifically chosen for their unique properties.Highly popular with bodybuilders, seasoned gym goers, and fitness fans alike ; it a great addition to your daily diet.What are the benefits of ZMA?Magnesium contributes to electrolyte balance and the maintenance of normal bones and teeth, the normal functioning of the nervous system and muscle function, normal protein synthesis, normal psychological function, and a reduction in tiredness and fatigue.The added zinc contributes to the normal function of the immune system, macronutrient metabolism, normal vision and the maintenance of normal skin, hair, and nails. It also contributes to normal cognitive function and helps protect cells from oxidative stress, as well as the maintenance of normal testosterone levels in the blood.Vitamin B6 adds to the mix by contributing to normal protein and glycogen metabolism, normal function of the immune system, and to a normal energy-yielding metabolism.The combination of zinc, magnesium and vitamin B6 means ZMA&reg; is a worthwhile addition to any supplement regime, whatever your fitness ambitions.When should you take ZMA?To get the maximum benefits, we recommend taking two capsules daily, preferably on an empty stomach, 30-60 minutes before bedtime.Upgrade your gains: how to maximise resultsZMA is a great way to make sure you're getting all the benefits of zinc, magnesium, and vitamin B6. But, to make sure you're getting all the vitamins and minerals your body needs, add Alpha Men ; packed with a whole host of essential vitamins and minerals, this is the perfect daily supplement for the active man, whatever your fitness goals.* Zinc contributes to the maintenance of normal testosterone levels in the blood* Magnesium supports normal functioning of the nervous system and muscle function* Vitamin B6 contributes to a reduction in tiredness and fatigueZMA&reg; is a registered trademark of SNAC System, Inc., San Carlos, CA 94070Please note that the labelling on this product is provided in English as a minimum. French, Italian, German, Spanish, Danish, Swedish and Finnish may also be present on a product by product basis."
Electrolytes Plus,"  Electrolyte Plus is a blend of essential electrolytes; Sodium, Potassium, Calcium and Magnesium. Electrolytes help provide the electrical energy necessary for many functions within the human body, including nerve impulse transmission and myofibril contractions. When exercising, some of these nutrients are;lost through sweating.Contains;magnesium which can contribute to electrolyte balance.Who is Electrolyte Plus Suitable for?Electrolyte Plus is suitable for anyone taking part in intense, physical exercise where there is abundant fluid loss.Please note that the labelling on this product is provided in English as a minimum. French, Italian, German, Spanish, Danish, Swedish and Finnish may also be present on a product by product basis."
Zinc and Magnesium,"  Zinc and magnesium are essential minerals that have an impressive range of benefits on the body ; making them a powerful support to any training regime.Our tablets will have you hitting your daily intake requirements in seconds.What are the benefits of Zinc  ; Magnesium?Zinc contributes to the normal function of the immune system and macronutrient metabolism. It also contributes to the maintenance of normal vision, skin, hair nails and bones. Plus, it contributes to normal cognitive function and helps protect cells from oxidative stress.Magnesium is just as valuable ; it contributes to electrolyte balance and the maintenance of normal bones and teeth. It also contributes to normal function of the nervous system, muscle function and protein synthesis.Plus, it can be a great pick-me-up throughout the day, as it contributes to a reduction in tiredness and fatigue.If that wasn't enough, we've also added vitamin B6, which contributes to the normal function of the immune system and the regulation of hormonal activity.All this squeezed into one convenient tablet.When should you take Zinc  ; Magnesium?Consume;2;capsules;daily. For best results consume on an empty stomach, 30 to 60 minutes before bedtime.For even better results, try it with...Micellar Casein;;;our slow-release protein delivers a sustained supply of protein to your body even as you sleep, so;enjoy your favourite flavour 30 minutes before bed, and wake up raring to go.Please note that the labelling on this product is provided in English as a minimum. French, Italian, German, Spanish, Danish, Swedish and Finnish may also be present on a product by product basis.*Zinc contributes to the maintenance of normal testosterone levels in the blood*Zinc contributes to the maintenance of normal hair*Zinc contributes to the maintenance of normal skin*Zinc contributes to the maintenance of normal nails*Zinc contributes to the normal function of the immune system*Magnesium contributes to a reduction of tiredness and fatigue*Magnesium contributes to the maintenance of normal bones*Magnesium contributes to the maintenance of normal teeth*Magnesium contributes to normal functioning of the nervous system*Magnesium contributes to normal muscle function"
Essential Amino Acids,"  What are Essential Amino Acids (EAA)?Amino Acids are complex chemicals that are the building blocks of protein. An Essential Amino Acid cannot be synthesised or created by the body and therefore must be supplied from the diet.Essential Amino Acids BenefitsThe main essential amino acids required by the body are Leucine, Isoleucine, Valine, Lysine, Phenylalanine, Threonine, Histidine, Methionine, and Tryptophan. This has 3000mg of Leucine per 9g serving which is higher than the standard whey protein and has zero fat and carbohydrates.Who are Essential Amino Acids Suitable for?Essential Amino Acids are recommended for anyone looking to increase their daily intake of amino acids.;Please note that the labelling on this product is provided in English as a minimum. French, Italian, German, Spanish, Danish, Swedish and Finnish may also be present on a product by product basis."
Bedtime Extreme,"  Just because the day over doesn't mean your progress has to stop! Our reformulated, slow-release blend will make sure your body gets a sustained supply of protein even as you sleep.Wake up ready and raring to go for the next session.What are the benefits of Bedtime Extreme?It loaded with a massive 45g of protein per serving, which contributes to the growth and maintenance of muscle mass. This is so important to any fitness goal ; whether you're striving for bigger lifts or a faster track-time.Plus, it low in sugar, meaning our shake won't sneak in unnecessary calories to the end of your day. We've also added magnesium, which contributes to normal protein synthesis and muscle function, and zinc, which contributes to normal macronutrient metabolism.Choose from three delicious flavours ; indulgent Chocolate Smooth, Natural Banana and our favourite, Strawberry Cream ; then lie back and let Bedtime Extreme take over.When should you take Bedtime Extreme?Enjoy your favourite flavour 30 minutes before bed.For even better results, try it with ;Protein Dessert; our great tasting high-protein dessert is perfect for anyone with a sweet-tooth, and delivers over 30g of protein per serving.;"
Recovery XS,"  What is Recovery XS ?This exciting new formulation combines fast-release whey protein isolate and hydrolysed whey, with a carbohydrate blend of waxy maize starch and maltodextrin.It designed to be absorbed quickly by the body, ideal for post-workout when your muscles require protein the most, while the carbohydrates go a long way towards replenishing your vital muscle glycogen stores.*Available in mouthwatering Chocolate Smooth, Strawberry or Banana, Recovery XS is perfect for anyone looking for the complete recovery shake.New Features:Improved protein blend ; whey protein isolate  ; hydrolysed wheyEnhanced; carbohydrate blend ; waxy maize starch  ; maltodextrinEven more protein ; 28g per 100gWhy use Recovery XS ?The fast-release protein blend of whey protein isolate and hydrolysed whey protein ; one of the purest whey proteins available ; mean it it delivers 28g of high-quality protein per serving, which contributes to the growth and maintenance of muscle mass.Boasting an impressive 42g of carbohydrates per serving, the waxy maize starch and maltodextrin blend aim to rapidly replenish muscle glycogen stores depleted through exercise* ; essential for recovery.It also contains:Creapure: Creatine increases physical performance in successive bursts of short-term, high-intensity exercise, through a daily intake of at least 3gL-leucine: Essential amino acid that cannot be synthesised by the human body so must be consumed through food or dietary supplements.Is this product for me?If you're looking for the perfect post-workout shake, including being packed with protein, then Recovery XS V2 is for you. It a great option for supporting recovery with quick-releasing protein and carbs.*Carbohydrates contribute to the recovery of normal muscle function (contraction) after highly intensive and/or long-lasting physical exercise leading to muscle fatigue and the depletion of glycogen stores in skeletal muscle. This beneficial effect is obtained with the consumption of carbohydrates, from all sources, at a total intake of 4g per kg body weight, at doses, within the first 4 hours, and no later than 6 hours, following highly intensive and/or long-lasting physical exercise leading to muscle fatigue and the depletion of glycogen stores in skeletal muscle."
Impact Whey Protein (Sample),"  What is Impact Whey Protein?Impact Whey Protein&reg; has been designed to offer a quick and convenient method of consuming your favourite whey protein supplement. Our Impact Whey Protein&reg; contains whey protein concentrate from vegetarian sweet cheese. Whey protein concentrate contains both essential and non-essential Amino Acids.Benefits of Impact Whey ProteinProtein contributes to growth and maintenance of muscle mass and contributes to the maintenance of normal bones. Our Impact Whey Protein&reg; provides 80g of protein per 100g. This protein contains a full amino acid profile (essential amino acids), with branched chain amino acids in a 2:1:1 ratio.Who is Impact Whey Protein Suitable for?Impact Whey Protein isn't just for athletes and gym goers but for all individuals who participate in exercise. Impact Whey Protein is ideal for anyone looking to increase his or her daily protein intake, and can be taken pre or post workout.Please note that the labelling on this product is provided in English as a minimum. French, Italian, German, Spanish, Danish, Swedish and Finnish may also be present on a product by product basis."
Cod Liver Oil,"  What is Cod Liver Oil?Cod Liver Oil is a rich source of the Omega 3 essential fatty acids EPA and DHA, as well as being a good source of Vitamin D and Vitamin A.Cod Liver Oil BenefitsCod Liver Oil has 70mg of EPA (eicosapentaenoic acid) which contributes to the normal function of the heart and 100mg of DHA (docosahexaenoic acid) which contributes to the maintenance of normal blood triglyceride levels, and the maintenance of normal blood pressure.The Cod Liver Oil is sourced from the unpolluted fisheries of Iceland, ensuring you receive the highest quality available in its purest form. We do not use deodorised oil.Who is Cod Liver Oil Suitable for?Cod Liver is an ideal supplement for anyone looking to increase their daily omega 3 intake, in particular the amount of EPA and DHA as well as the addition of vitamin D and A.Please note that the labelling on this product is provided in English as a minimum. French, Italian, German, Spanish, Danish, Swedish and Finnish may also be present on a product by product basis."
Egg White Powder,"  Now available in Vanilla, Chocolate and Strawberry.Our Egg White Powder is a spray-dried dispersible, egg protein, manufactured directly from egg whites and has a high protein content - contributing to the growth and maintenance of muscle mass.Who is Egg White Powder Suitable for?Egg White Powder is suitable for anyone looking to increase daily protein intake or for anyone looking for a source of protein before or after their training.Please note that the labelling on this product is provided in English as a minimum. French, Italian, German, Spanish, Danish, Swedish and Finnish may also be present on a product by product basis."
Soy Protein Isolate,"  Our Soy Protein Isolate is an unbeatable choice for vegetarians, vegans and those with special dietary requirements such as lactose intolerance.We make it from defatted soy beans, using an innovative process to minimise fats and carbohydrates, and maximise the protein content to an impressive 27g per serving.The result? A supplement that perfect for anyone looking to increase daily protein intake without taking on unwanted calories.What are the benefits of Soy Protein Isolate?Protein contributes to the growth and maintenance of muscle mass, making Soy Protein Isolate an excellent support for all types of training goals ; whether you're trying to up your bench press or shave seconds off your track time.It a plant-based protein, making it completely vegetarian, vegan and lacto-free friendly.;Choose from four delicious flavours ; Chocolate Smooth, Strawberry Cream, Vanilla or Matcha.;When should you take Soy Protein Isolate?Enjoy your favourite flavour;before or after a training session to maximise your results.For even better results, try it with ;Creatine Monohydrate ; also vegan friendly, and has been proven to increase physical performance in successive bursts of short-term, high-intensity exercise.**The beneficial effect is obtained with a daily intake of 3g of creatine.Please note that the labelling on this product is provided in English as a minimum. French, Italian, German, Spanish, Danish, Swedish and Finnish may also be present on a product by product basis."
Acetyl L Carnitine,"  What is Acetyl L-Carnitine?Acetyl L Carnitine (ALCAR);is created in the body from the amino acids lysine and methionine. It is mainly synthesised in the liver and kidneys and must be transported for use to other tissues in the body. It is found in highest levels in tissues that use fatty acids as the main fuel; for example the skeletal and cardiac muscles.Who is Acetyl L-Carnitine suitable for?Acetyl L-Carnitine is ideal for active individuals taking part in regular exercise or anyone looking for an easy-to-consume source of carnitine that can be taken throughout the day.How to take Acetyl L-Carnitine:Acetyl L-Carntine should be taken with a healthy balanced diet, whereby it is recommended to consume 1 serving of Acetyl L-Carntine 2-3 times daily with meals for best results.Please note that the labelling on this product is provided in English as a minimum. French, Italian, German, Spanish, Danish, Swedish and Finnish may also be present on a product by product basis."
CreapureÂ® (Creatine Monohydrate),"  Looking for the best of the best? Creapure&reg; is widely known to be the purest and finest level of micronized creatine monohydrate available on the sports nutrition market.Made in Germany by AlzChem, this supplement undergoes a rigorous testing process to make sure it completely free of impurities and by-products like CRN (creatinine), DCD (dicyandiamide) and thiourea. The result ; an elite supplement that 99.99% creatine monohydrate.Why settle for anything less?What are the benefits of Creapure&reg;?The unbeatably high creatine monohydrate content means Creapure&reg; can give a real edge to your chin-ups and squats, as creatine increases physical performance in successive bursts of short-term, high intensity exercise.*Choose from six fantastic fruity flavours ; Berry Blast, Blue Raspberry, Lemon  ; Lime, Tropical, Orange, and Watermelon. ;No workout should be without it.When should you take Creapure&reg;?Immediately pre- or post-workout ; just mix 3g of your favourite flavour with a whey protein blend to support the growth and maintenance of muscle mass. Alternatively, you could add to water, milk or juice.New to Creapure&reg;? We recommend beginning with a five-day loading phase to reap maximum benefits. All this means is 3g four times a day at regular intervals, to saturate your muscles with creatine, before starting the standard 3g a day recommended use.For even better results, try it with ;Impact Whey Protein; from Europe #1 sports nutrition brand, Grade A Labdoor ranking, a massive 21g of protein per serving and 4.5g BCAAs.*The beneficial effect is obtained with a daily intake of 3g of creatine.Please note that the labelling on this product is provided in English as a minimum. French, Italian, German, Spanish, Danish, Swedish and Finnish may also be present on a product by product basis."
Multi Vitamin Powder,"  What is Multi Vitamin Powder?Our Multi Vitamin Powder is an excellent addition to anyone's diet. Two daily servings will provide 100% RDA of 12 essential vitamins and minerals.Benefits of Multi Vitamin PowderMulti Vitamin powder is a great way of boosting your daily intake of vitamins and minerals.Who is Multi Vitamin Powder Suitable for?This convenient powder form allows you to boost the vitamin content of all your foods including other supplements like protein or meal replacement shakes.Please note that the labelling on this product is provided in English as a minimum. French, Italian, German, Spanish, Danish, Swedish and Finnish may also be present on a product by product basis."
Arginine Alpha Ketoglutarate (AAKG),"  Arginine Alpha Ketoglutarate (AAKG) is a salt of the amino acid arginine and alpha-ketoglutaric acid.Myprotein AAKG is superior to many other forms of arginine as it is comprised of two arginine molecules attached to one alpha-ketoglutarate molecule.The standard pre-workout dose for L-arginine is 3-6g. Taking more than 10g of arginine at once could result in gastrointestinal distress.;Please note that the labelling on this product is provided in English as a minimum. French, Italian, German, Spanish, Danish, Swedish and Finnish may also be present on a product by product basis."
L Leucine,"  What is L-Leucine?L-Leucine is an essential amino acid. As an essential amino acid it cannot be made by the human body and, therefore, must be consumed through food such as nuts, brown rice and whole wheat bread products or dietary supplements.Who is L-Leucine suitable for?This is therefore suitable for an individual wanting to increase their daily intake of L-Leucine and essential amino acids.Please note that the labelling on this product is provided in English as a minimum. French, Italian, German, Spanish, Danish, Swedish and Finnish may also be present on a product by product basis."
Caffeine Pro,"  What is Caffeine Pro?It can be found in varying quantities in the beans, leaves and fruits of over 60 different plants with the most common sources being the coffee plant bean and the leaf of the tea bush._Who is Caffeine Pro Suitable for?Caffeine is ideal for anyone looking for a high intake of caffeine prior to exercise. We recommend consuming 200mg (1 tablet) 45 - 1 hour before your work-out. Due to its stimulant nature, in order to avoid any issues with sleep, it is best not to take caffeine too late in the day.Warning: Please be careful when dosing Caffeine as it is a potent powder and can cause bad side-effects when taken well above the recommended amount.Please note that the labelling on this product is provided in English as a minimum. French, Italian, German, Spanish, Danish, Swedish and Finnish may also be present on a product by product basis."
Hydrolysed Whey Protein,"  What is Hydrolysed Whey?nHydrolysed Whey Protein is a whey protein that has had some of its amino acid peptide bonds broken enzymatically into shorter chains of aminos. The Hydrolysed Whey Protein is produced by a controlled enzyme treatment of whey protein which is mild and is carefully monitored, leaving the essential amino acids intact and retaining the high quality of protein.nHydrolysed Whey BenefitsnThis has a high protein content per serving (25.5g) which contributes to the growth and maintenance of;muscle mass. Due to the protein being pre-digested it will have a slight bitter taste.nWho is Hydrolysed Whey Suitable for?nThis is ideal for anyone looking for a protein supplement to help increase daily protein consumption.nPlease note that the labelling on this product is provided in English as a minimum. French, Italian, German, Spanish, Danish, Swedish and Finnish may also be present on a product by product basis."
